지정상품(국문),NICE분류,유사군코드,지정상품(영문),
의료용 담요 판매알선업,35,S2011,Sales arranging of blankets for medical purposes,
의료용 또는 외과용 깁스 판매알선업,35,S2011,Sales arranging of plaster for medical or surgical purposes,
의료용 또는 치료용 압박양말 판매알선업,35,S2011,Sales arranging of compression socks for medical or therapeutic use,
의료용 리프팅용 실 판매알선업,35,S2011,Sales arranging of lifting thread for medical purposes,
의료용 매트리스 판매알선업,35,S2011,Sales arranging of mattresses for medical purposes,
의료용 매트리스 판매알선업,35,S2011,Sales arranging of mattresses for medical use,
의료용 매트커버 판매알선업,35,S2011,Sales arranging of medical mat cover,
의료용 멸균천 판매알선업,35,S2011,Sales arranging of medical drapes,
의료용 물베개 판매알선업,35,S2011,Sales arranging of water pillows for medical purposes,
의료용 물주머니 판매알선업,35,S2011,Sales arranging of water bags for medical purposes,
의료용 발열온팩 판매알선업,35,S2011,Sales arranging of medical heating hot packs,
의료용 발열패드 판매알선업,35,S2011,Sales arranging of medical heating pads,
의료용 발열패치 판매알선업,35,S2011,Sales arranging of heating patches for medical treatment,
의료용 발열팩 판매알선업,35,S2011,Sales arranging of medical heating packs,
의료용 베개 판매알선업,35,S2011,Sales arranging of pharmaceutical pillow for medical purposes,
의료용 복부패드 판매알선업,35,S2011,Sales arranging of abdominal pads for medical use,
의료용 봉합재료 판매알선업,35,S2011,Sales arranging of suture materials for medical purposes,
의료용 봉합재료 판매알선업,35,S2011,Sales arranging of suture materials for medical use,
의료용 부직포제 멸균천 판매알선업,35,S2011,Sales arranging of medical drapes of non-woven textile materials,
의료용 분리수거 백 판매알선업,35,S2011,Sales arranging of isolation bags for medical use,
의료용 비전기식 가열쿠션 판매알선업,35,S2011,"Sales arranging of cushions (Heating -), non-electric for medical purposes",
의료용 비전기식 온열쿠션 판매알선업,35,S2011,"Sales arranging of heating cushions [pads], non-electric for medical purposes",
의료용 빈 채혈백 판매알선업,35,S2011,"Sales arranging of blood collection bags for medical purposes, empty",
의료용 살균기능장착식 이동변기장치 판매알선업,35,S2011,Sales arranging of portable toilet stool units with bactericidal effect for medical purposes,
의료용 세면기능장착식 변기장치 판매알선업,35,S2011,Sales arranging of toilet stool units with wash up function for medical purposes,
의료용 세척수 분사기 장착식 이동변기장치 판매알선업,35,S2011,Sales arranging of portable toilet stool units with a washing water squirter for medical purposes,
의료용 소변검사컵 판매알선업,35,S2011,Sales arranging of medical specimen cups,
의료용 소변기 판매알선업,35,S2011,Sales arranging of urinals being vessels,
의료용 소변샘플 수집용 백 판매알선업,35,S2011,Sales arranging of bags for medical use in collecting urine samples,
의료용 소변샘플 저장용 백 판매알선업,35,S2011,Sales arranging of bags for medical use in storing urine samples,
의료용 소변용기 판매알선업,35,S2011,Sales arranging of urinals for medical purposes [vessels],
의료용 손목밴드 판매알선업,35,S2011,Sales arranging of wristband for medical purposes,
의료용 수동식 분무기 판매알선업,35,S2011,Sales arranging of sprayers [hand-operated] for medical use,
의료용 스포이드 판매알선업,35,S2011,Sales arranging of dropping pipettes for medical purposes,
의료용 시트(커튼) 판매알선업,35,S2011,Sales arranging of sheets [drapes] for medical use,
의료용 신체보정 레깅스 판매알선업,35,S2011,Sales arranging of medical body correction leggings,
의료용 신체보정 셔츠 판매알선업,35,S2011,Sales arranging of medical body correction shirts,
의료용 신체보정 스타킹 판매알선업,35,S2011,Sales arranging of medical body correction stockings,
의료용 신체보정 언더웨어 판매알선업,35,S2011,Sales arranging of medical body correction underwear,
의료용 신체보정 장갑 판매알선업,35,S2011,Sales arranging of medical body correction gloves,
의료용 신체착용식 젖병 홀더 판매알선업,35,S2011,Sales arranging of body wearable feeding bottle holders for medical purposes,
의료용 실 판매알선업,35,S2011,Sales arranging of thread for medical use,
의료용 실 판매알선업,35,S2011,Sales arranging of medical thread,
의료용 압축스타킹 판매알선업,35,S2011,Sales arranging of medical compression stockings,
의료용 압축스타킹 및 타이츠 판매알선업,35,S2011,Sales arranging of medical compression stockings and tights,
의료용 약품 분배 및 담는 상자 판매알선업,35,S2011,Sales arranging of pill distributor and organizer boxes for medical purposes,
의료용 얼음베개 판매알선업,35,S2011,Sales arranging of ice bag pillows for medical purposes,
의료용 얼음주머니 판매알선업,35,S2011,Sales arranging of ice bags for medical purposes,
의료용 얼음주머니 홀더 판매알선업,35,S2011,Sales arranging of medical Ice bag holders,
의료용 열전기식 압박포 판매알선업,35,S2011,Sales arranging of thermal electric compresses for medical use,
의료용 온열식 보온시트 판매알선업,35,S2011,Sales arranging of heat-insulated sheet for medical purposes,
의료용 온열팩 판매알선업,35,S2011,Sales arranging of thermal packs for medical purposes,
의료용 요강 판매알선업,35,S2011,Sales arranging of chamber pots for medical purposes,
의료용 유아 수면베개 판매알선업,35,S2011,Sales arranging of medical infant sleep pillows,
의료용 유체 수집용기 판매알선업,35,S2011,Sales arranging of fluid collection containers for medical use,
의료용 자석파스 판매알선업,35,S2011,Sales arranging of medical magnet paz,
의료용 저압박 스타킹 판매알선업,35,S2011,Sales arranging of medical stockings with decreasing compression,
의료용 전기담요 판매알선업,35,S2011,"Sales arranging of blankets, electric, for medical purposes",
의료용 전기담요 판매알선업,35,S2011,Sales arranging of electric blankets [bed] for medical use,
의료용 전기식 가열쿠션 판매알선업,35,S2011,"Sales arranging of cushions (Heating -), electric, for medical purposes",
의료용 전기식 가열쿠션(패드) 판매알선업,35,S2011,"Sales arranging of cushions [pads] (heating -), for medical purposes",
의료용 전기식 발열패드 판매알선업,35,S2011,Sales arranging of medical electric heating pad,
의료용 전기온열쿠션 판매알선업,35,S2011,"Sales arranging of heating cushions, electric, for medical purposes",
의료용 전기온열패드 판매알선업,35,S2011,"Sales arranging of heating pads, electric, for medical purposes",
의료용 전열양말 판매알선업,35,S2011,Sales arranging of socks (Electrically heated -) for medical purposes,
의료용 점안기 판매알선업,35,S2011,Sales arranging of eye droppers for medical purposes,
의료용 점적기(點滴器) 판매알선업,35,S2011,Sales arranging of droppers for medical purposes,
의료용 점적병 판매알선업,35,S2011,Sales arranging of dropper bottles for medical purposes,
의료용 좌욕기 판매알선업,35,S2011,Sales arranging of medical sitz baths apparatus,
의료용 지압베개 판매알선업,35,S2011,Sales arranging of acupressure pillows for medical purposes,
의료용 지지붕대 판매알선업,35,S2011,Sales arranging of support bandages for medical purposes,
의료용 지지스타킹 판매알선업,35,S2011,Sales arranging of medical support panty hose,
의료용 찜질팩 판매알선업,35,S2011,Sales arranging of fomentation packs for medical purposes,
의료용 채혈백 판매알선업,35,S2011,Sales arranging of blood collection bags for medical purposes,
의료용 쿠션 판매알선업,35,S2011,Sales arranging of cushions for medical purposes,
의료용 쿠션장치 판매알선업,35,S2011,Sales arranging of cushioning devices for medical use,
의료용 타구(唾具) 판매알선업,35,S2011,Sales arranging of spittoons for medical purposes,
의료용 타이츠 판매알선업,35,S2011,Sales arranging of medical compression tights,
의료용 탄성밴드 판매알선업,35,S2011,Sales arranging of elastic bandages for medical purposes,
의료용 탄성스타킹 판매알선업,35,S2011,Sales arranging of elastic stockings for surgical purposes,
의료용 탄성스타킹 판매알선업,35,S2011,Sales arranging of elastic stockings [for medical purposes],
의료용 탄성압박 붕대 판매알선업,35,S2011,Sales arranging of elastic compression bandages for medical purposes,
의료용 패드식 쿠션 판매알선업,35,S2011,Sales arranging of padded cushions for medical purposes,
의료용 팬티스타킹 판매알선업,35,S2011,Sales arranging of medical pantyhose,
의료용 폐기물전용 박스 판매알선업,35,S2011,Sales arranging of boxes adapted for medical waste products,
의료용 피부유체물용 패드 판매알선업,35,S2011,Sales arranging of pads for medical use in applying a fluid to the skin,
의료용 호저리 판매알선업,35,S2011,Sales arranging of medical hosiery,
의료용 화학식 냉압축포 판매알선업,35,S2011,Sales arranging of chemically activated cold compresses for medical purposes,
의료용 화학식 열압축포 판매알선업,35,S2011,Sales arranging of chemically activated hot compresses for medical purposes,
의료용 화학식 온열패드 판매알선업,35,S2011,Sales arranging of chemically activated heating pads for medical purposes,
의료용 화학식 콜드겔 팩 판매알선업,35,S2011,Sales arranging of chemically activated cold gel packs for medical purposes,
의료용 화학식 핫겔 팩 판매알선업,35,S2011,Sales arranging of chemically activated hot gel packs for medical purposes,
의료용 휠체어 좌석용 패드 판매알선업,35,S2011,Sales arranging of pads for seats for wheelchairs [for medical use],
의료전용 환자 의자용 안락한 쿠션 판매알선업,35,S2011,Sales arranging of contoured cushions for patients' use on chairs [adapted for medical purposes],
의료전용 환자 침대용 안락한 쿠션 판매알선업,35,S2011,Sales arranging of contoured cushions for patients' use on beds [adapted for medical purposes],
이유용구 판매알선업,35,S2011,Sales arranging of weaning devices,
인공고막용 재료 판매알선업,35,S2011,Sales arranging of artificial tympanic membranes,
인공재료로 구성된 외과용 그물망 판매알선업,35,S2011,Sales arranging of surgical mesh comprised primarily of artificial materials,
인체지지용 붕대 판매알선업,35,S2011,Sales arranging of bandages for supporting the human body,
일회용 유아노리개용 젖꼭지 판매알선업,35,S2011,Sales arranging of disposable pacifier for babies,
일회용 젖꼭지 판매알선업,35,S2011,Sales arranging of disposable teats,
장선(腸線) 판매알선업,35,S2011,Sales arranging of catgut,
접착용 봉합선 판매알선업,35,S2011,Sales arranging of adhesive sutures,
정맥류용 스타킹 판매알선업,35,S2011,Sales arranging of stockings for varices,
정형외과 깁스용 패딩 판매알선업,35,S2011,Sales arranging of padding for orthopedic casts,
정형외과 수술전용 시트 판매알선업,35,S2011,Sales arranging of orthopaedic sheets adapted for use during orthopaedic operations,
정형외과용 깁스 판매알선업,35,S2011,Sales arranging of plaster bandages for orthopaedic purposes,
정형외과용 깁스 판매알선업,35,S2011,Sales arranging of plaster bandages for orthopedic purposes,
정형외과용 깔창 판매알선업,35,S2011,Sales arranging of orthopaedic insoles,
정형외과용 깔창 쉘 판매알선업,35,S2011,Sales arranging of insole-shells [orthopaedic],
정형외과용 무릎붕대 판매알선업,35,S2011,Sales arranging of orthopaedic knee bandages,
정형외과용 무릎붕대 판매알선업,35,S2011,"Sales arranging of knee bandages, orthopedic",
정형외과용 무릎붕대 판매알선업,35,S2011,"Sales arranging of knee bandages, orthopaedic",
정형외과용 베개 판매알선업,35,S2011,Sales arranging of pillows for orthopedic use,
정형외과용 분리형 깔창 판매알선업,35,S2011,Sales arranging of orthopaedic detachable insoles,
정형외과용 붕대 판매알선업,35,S2011,Sales arranging of orthopaedic bandages,
정형외과용 붕대 판매알선업,35,S2011,Sales arranging of bandages for orthopaedic purposes,
정형외과용 소프트 깔창 판매알선업,35,S2011,Sales arranging of soft insoles [orthopaedic],
정형외과용 슬리퍼용 패드 판매알선업,35,S2011,Sales arranging of pads for slippers [orthopaedic],
정형외과용 신발 깔창 판매알선업,35,S2011,Sales arranging of shoe insoles for orthopedic use,
정형외과용 신발용 패드 판매알선업,35,S2011,Sales arranging of pads for shoes [orthopaedic],
정형외과용 압박레깅스 판매알선업,35,S2011,Sales arranging of pressure leggings for orthopedic purposes,
정형외과용 압박셔츠 판매알선업,35,S2011,Sales arranging of pressure-shirts for orthopedic purposes,
정형외과용 압박스타킹 판매알선업,35,S2011,Sales arranging of pressure stockings for orthopedic purposes,
정형외과용 압박언더웨어 판매알선업,35,S2011,Sales arranging of pressure underwear for orthopedic purposes,
정형외과용 양말 판매알선업,35,S2011,Sales arranging of orthopaedic hosiery,
정형외과용 주형 판매알선업,35,S2011,Sales arranging of templates for orthopedic purposes,
정형외과용 지지붕대 판매알선업,35,S2011,Sales arranging of orthopedic support bandages,
정형외과용 쿠션 판매알선업,35,S2011,Sales arranging of orthopedic cushions,
정형외과용 풋 쿠션 판매알선업,35,S2011,Sales arranging of orthopaedic foot cushions,
정형외과용 힐패드 판매알선업,35,S2011,Sales arranging of heel pads for orthopaedic use,
젖병 판매알선업,35,S2011,Sales arranging of babies' bottles,
젖병 판매알선업,35,S2011,Sales arranging of feeding bottles,
젖병 판매알선업,35,S2011,Sales arranging of baby bottles,
젖병 홀더 판매알선업,35,S2011,Sales arranging of feeding bottle holders,
젖병용 밸브 판매알선업,35,S2011,Sales arranging of feeding bottle valves,
젖병용 젖꼭지 판매알선업,35,S2011,Sales arranging of feeding bottle teats,
젖병용 젖꼭지 판매알선업,35,S2011,Sales arranging of nipples for baby bottles,
조직 내시경 회수용 백 판매알선업,35,S2011,Sales arranging of bags for endoscopic retrieval of tissue,
주사기처리용 용기 판매알선업,35,S2011,Sales arranging of containers especially adapted for the disposal of syringes,
지압용 밴드 판매알선업,35,S2011,Sales arranging of acupressure bands,
지지용 붕대 판매알선업,35,S2011,Sales arranging of supportive bandages,
지지용 탄성붕대 판매알선업,35,S2011,Sales arranging of elasticated bandages for supportive use,
질병예방용 스타킹 판매알선업,35,S2011,Sales arranging of stockings for prophylactic purposes,
질세척주머니 판매알선업,35,S2011,Sales arranging of douche bags,
착유컵(이유용구) 판매알선업,35,S2011,Sales arranging of milking cups (weaning devices),
청각보호용 귀마개 판매알선업,35,S2011,Sales arranging of ear plugs [ear protection devices],
체액수집용 백 판매알선업,35,S2011,Sales arranging of bags for collecting body fluids,
치료용 베개 판매알선업,35,S2011,Sales arranging of pillows for therapeutic use,
치료용 스타킹 판매알선업,35,S2011,Sales arranging of stockings for therapeutic purposes,
치료용 지지붕대 판매알선업,35,S2011,Sales arranging of therapeutic support bandages,
치료용 호저리 판매알선업,35,S2011,Sales arranging of therapeutic hosiery,
치발기 고무젖꼭지 판매알선업,35,S2011,Sales arranging of teething rings dummies (teats),
치아발육기 판매알선업,35,S2011,Sales arranging of teething rings,
치열교정 젖꼭지 판매알선업,35,S2011,Sales arranging of orthodontic teats,
캐스팅 부목 판매알선업,35,S2011,Sales arranging of casting splints,
코골이 억제용 패드 판매알선업,35,S2011,Sales arranging of pads for inhibiting snoring,
탄성 또는 지지용 압박붕대 판매알선업,35,S2011,Sales arranging of compression bandages [elastic or supportive],
탄성붕대 판매알선업,35,S2011,"Sales arranging of bandages, elastic",
탄성붕대 판매알선업,35,S2011,Sales arranging of elastic bandages,
투약용 계량스푼 판매알선업,35,S2011,Sales arranging of measuring spoons for administering medicine,
투약용 스포이드 판매알선업,35,S2011,Sales arranging of dropping pipettes for applying medicines,
투약용 스푼 판매알선업,35,S2011,Sales arranging of spoons for administering medicine,
투약용 용기 판매알선업,35,S2011,Sales arranging of receptacles for applying medicines,
투약용 점적기 판매알선업,35,S2011,Sales arranging of droppers for administering medicine,
투약용 컵 판매알선업,35,S2011,Sales arranging of cups for administering medicine,
튜브형 지지붕대 판매알선업,35,S2011,Sales arranging of tubular bandages [supportive],
폴리우레탄폼제 지지붕대 판매알선업,35,S2011,Sales arranging of polyurethane foam bandage [supportive],
플라잇 양말 판매알선업,35,S2011,Sales arranging of flight socks,
하지상태 교정치료용 깔창 판매알선업,35,S2011,Sales arranging of insoles for corrective treatment of conditions of the lower limbs,
합성직물제 지지붕대 판매알선업,35,S2011,Sales arranging of synthetic bandages [supportive],
합성직물제 패팅지지붕대 판매알선업,35,S2011,Sales arranging of synthetic padding bandages [supportive],
해부 지지용 압박 붕대 판매알선업,35,S2011,Sales arranging of pressure bandages for anatomical support purposes,
환자 냉각용 의료용 담요 판매알선업,35,S2011,Sales arranging of medical blankets for the cooling of patients,
환자 보온용 의료용 담요 판매알선업,35,S2011,Sales arranging of medical blankets for the warming of patients,
환자욕창예방용 패드 판매알선업,35,S2011,Sales arranging of pads for preventing pressure sores on patient bodies,
환자용 변기 판매알선업,35,S2011,Sales arranging of bed pans,
환자용 변기 판매알선업,35,S2011,Sales arranging of bedpans,
환자용 변기 겸용 의자 판매알선업,35,S2011,Sales arranging of commode chairs for patients,
환자용 안락한 부양패드 판매알선업,35,S2011,Sales arranging of contoured inflated pads for patients,
환자용 자동소변집료기 판매알선업,35,S2011,Sales arranging of automatic urine collect instruments for invalids,
환자용 좌욕 및 변기 겸용 의자 판매알선업,35,S2011,Sales arranging of commode chairs,
휴대용 수동식 소변기(의료용) 판매알선업,35,S2011,Sales arranging of portable hand-held urinals,
가정용 부항 전기마사지기 판매알선업,35,S2039,Sales arranging of electric cupping massaging apparatus for household purposes,
가정용 안면진동마사지기(전기식) 판매알선업,35,S2039,Sales arranging of electric facial massage vibrators for household purposes,
가정용 음이온 마사지기(전기식) 판매알선업,35,S2039,Sales arranging of electric anion massaging apparatus for household purposes,
가정용 전기 미용마사지장치 판매알선업,35,S2039,Sales arranging of esthetic massage apparatus for household use,
가정용 전기두피마사지기 판매알선업,35,S2039,Sales arranging of electric scalp massaging apparatus for household purposes,
가정용 전기마사지 의자 판매알선업,35,S2039,Sales arranging of electric massage chair for household purposes,
가정용 전기마사지기 판매알선업,35,S2039,Sales arranging of electric massage apparatus for household use,
가정용 전기발마사지기 판매알선업,35,S2039,Sales arranging of electric foot massaging apparatus for household purposes,
가정용 전기식 고주파 피부 마사지기 판매알선업,35,S2039,Sales arranging of high-frequency esthetic skin massage apparatus for household purposes,
가정용 전기식 공기압축 안마기 판매알선업,35,S2039,Sales arranging of electric air compression massaging apparatus for household purposes,
가정용 전기식 냉온안마기 판매알선업,35,S2039,Sales arranging of electric cold-hot massaging apparatus for household purposes,
가정용 전기식 두피 냉온안마기 판매알선업,35,S2039,Sales arranging of electric scalp cold-hot massaging apparatus for household purposes,
가정용 전기식 미안기(美顔器) 판매알선업,35,S2039,Sales arranging of electirc esthetic facial massage apparatus for household purposes,
가정용 전기식 얼굴 필링기 판매알선업,35,S2039,Sales arranging of electric facial peeling machines for household purposes,
가정용 전기식 온열안마기 판매알선업,35,S2039,Sales arranging of electrically heated massaging apparatus for household purposes,
가정용 전기식 초음파 미안기 판매알선업,35,S2039,Sales arranging of electrical facial massage equipment using ultrasonic wave for household use,
가정용 전기식 피부마사지기 판매알선업,35,S2039,Sales arranging of electric skin massaging apparatus for household purposes,
가정용 전기안면마사지기 판매알선업,35,S2039,Sales arranging of electric face massaging apparatus for household purposes,
가정용 진동마사지기 판매알선업,35,S2039,Sales arranging of vibration massaging apparatus for household purposes,
개인용 전기마사지장치 판매알선업,35,S2039,Sales arranging of electric massage apparatus for personal use,
고주파 피부미용기 (의료용은 제외) 판매알선업,35,S2039,Sales arranging of high-frequency skin esthetic massage apparatus (not for medical purposes),
미용마사지장치 판매알선업,35,S2039,Sales arranging of esthetic massage apparatus,
미용용 전기식 두피측정기 판매알선업,35,S2039,Sales arranging of electric scalp measuring instruments for esthetic purposes,
미용용 전기식 전신미용기구 판매알선업,35,S2039,Sales arranging of electric whole body massage apparatus for esthetic purposes,
미용용 전기식 피부측정기 판매알선업,35,S2039,Sales arranging of electric skin measuring devices for use as parts of esthetic massage apparatus,
비의료용 전기식 두피진단기 판매알선업,35,S2039,Sales arranging of electric scalp diagnostic apparatus (not for medical purposes),
비의료용 피부진단기 판매알선업,35,S2039,Sales arranging of skin diagnostic apparatus (not for medical purposes),
전기식 미용 마사지장치 판매알선업,35,S2039,Sales arranging of electric esthetic massage apparatus,
전기식 미용 마사지장치 부품 판매알선업,35,S2039,Sales arranging of components of electric esthetic massage apparatus,
전기식 온열 피부 마사지기 판매알선업,35,S2039,Sales arranging of electrically heated skin massaging apparatus,
피부미용 미백기 판매알선업,35,S2039,Sales arranging of esthetic facial massage apparatus for skin whitening effect,
휴대용 전기 마사지기 판매알선업,35,S2039,Sales arranging of portable electric massaging apparatus,
휴대용 전기식 얼굴필링기 판매알선업,35,S2039,Sales arranging of portable electric faicial peeling machine,
수술복 판매알선업,35,S2045,Sales arranging of clothing especially for operating rooms,
수술용 모자 판매알선업,35,S2045,Sales arranging of surgical caps,
수의과 의사용 머리착용 보호보닛 판매알선업,35,S2045,Sales arranging of protective bonnets for the hair for wear by veterinary practitioners,
외과용 가운 판매알선업,35,S2045,Sales arranging of surgical gowns,
외과용 가운 판매알선업,35,S2045,Sales arranging of gowns for surgical use,
외과용 보호복 판매알선업,35,S2045,Sales arranging of protective clothing for surgical purposes,
외과용 살균복 판매알선업,35,S2045,Sales arranging of sterile clothing for surgical use,
외과용 수술복 판매알선업,35,S2045,Sales arranging of surgical scrub suits,
의료용 가운 판매알선업,35,S2045,Sales arranging of medical gowns,
의료용 가운 판매알선업,35,S2045,Sales arranging of gowns for medical purposes,
의료용 모자 판매알선업,35,S2045,Sales arranging of medical caps,
의료용 보호복 판매알선업,35,S2045,Sales arranging of protective clothing for medical purposes,
의료용 의류 판매알선업,35,S2045,Sales arranging of medical clothing,
의사용 머리착용 보호보닛 판매알선업,35,S2045,Sales arranging of protective bonnets for the hair for wear by medical practitioners,
치과의사용 머리착용 보호보닛 판매알선업,35,S2045,Sales arranging of protective bonnets for the hair for wear by dental practitioners,
환자 진찰가운 판매알선업,35,S2045,Sales arranging of patient examination gowns,
마사지용 말털장갑 판매알선업,35,S2045,Sales arranging of horsehair gloves for massage,
마사지용 장갑 판매알선업,35,S2045,Sales arranging of gloves for massage,
마사지용 장갑 판매알선업,35,S2045,Sales arranging of massage mitts,
병원용 장갑 판매알선업,35,S2045,Sales arranging of gloves for use in hospitals,
수술용 장갑 판매알선업,35,S2045,Sales arranging of gloves for use during operations,
수술중 외과의사용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for use by surgeons during operations,
수의과용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for veterinary purposes,
수의과용 일회용 장갑 판매알선업,35,S2045,Sales arranging of disposable gloves for veterinary purposes,
수의과용 장갑 판매알선업,35,S2045,Sales arranging of gloves for veterinary use,
외과용 고무장갑 판매알선업,35,S2045,Sales arranging of rubber gloves for surgical use,
외과용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for surgical purposes,
외과용 일회용 장갑 판매알선업,35,S2045,Sales arranging of disposable gloves for surgical purposes,
의료검사용 장갑 판매알선업,35,S2045,Sales arranging of gloves for medical examinations,
의료분야 종사자용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for use by persons working in medicine,
의료용 고무장갑 판매알선업,35,S2045,Sales arranging of rubber gloves for medical use,
의료용 고무제 진찰용 장갑 판매알선업,35,S2045,Sales arranging of latex examination gloves for medical use,
의료용 긴 장갑 판매알선업,35,S2045,Sales arranging of mittens for medical use,
의료용 라텍스 및 니트릴 장갑 판매알선업,35,S2045,Sales arranging of latex and nitrile gloves for medical purposes,
의료용 라텍스제 장갑 판매알선업,35,S2045,Sales arranging of gloves of latex for medical purposes,
의료용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for medical purposes,
의료용 일회용 보호장갑 판매알선업,35,S2045,Sales arranging of disposable protective gloves for medical purposes,
의료용 일회용 장갑 판매알선업,35,S2045,Sales arranging of disposable gloves for medical purposes,
의료용 장갑 판매알선업,35,S2045,Sales arranging of gloves for medical purposes,
치과분야 종사자용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for use by persons working in the dentistry,
치과용 보호장갑 판매알선업,35,S2045,Sales arranging of protective gloves for dental purposes,
치과용 일회용 장갑 판매알선업,35,S2045,Sales arranging of disposable gloves for dental purposes,
치과용 장갑 판매알선업,35,S2045,Sales arranging of gloves for dental use,
마취용 마스크 판매알선업,35,S2045,Sales arranging of anaesthetic masks,
마취용 마스크 판매알선업,35,S2045,Sales arranging of anesthesia masks,
바이오 치료용 얼굴 마스크 판매알선업,35,S2045,Sales arranging of bio therapeutic facial masks,
수술용 부직포제 호흡보호 마스크 판매알선업,35,S2045,Sales arranging of protective breathing masks made of non-woven materials for surgical applications,
수술용 안면 마스크 판매알선업,35,S2045,Sales arranging of face masks for medical use,
수술용 호흡 마스크 판매알선업,35,S2045,Sales arranging of surgical breathing masks,
수술용 호흡보호 마스크 판매알선업,35,S2045,Sales arranging of protective breathing masks for surgical applications,
수술중 외과의사용 보호마스크 판매알선업,35,S2045,Sales arranging of protective masks for use by surgeons during operations,
수의과용 입보호마스크 판매알선업,35,S2045,Sales arranging of protective mouth masks for veterinary use,
수의과용 코보호마스크 판매알선업,35,S2045,Sales arranging of protective nose masks for veterinary use,
심폐기능소생 마스크 판매알선업,35,S2045,Sales arranging of cardiopulmonary resuscitation masks,
외과용 독성물질보호용 안면마스크 판매알선업,35,S2045,Sales arranging of face masks for surgical use for toxic substance protection,
외과용 마스크 판매알선업,35,S2045,Sales arranging of surgical masks,
외과용 항균보호용 안면마스크 판매알선업,35,S2045,Sales arranging of face masks for surgical use for anti bacterial protection,
외과용 호흡마스크 삽입재 판매알선업,35,S2045,Sales arranging of inserts for breathing masks for surgical use,
의료분야 종사자용 보호마스크 판매알선업,35,S2045,Sales arranging of protective masks for use by persons working in medicine,
의료용 구강마스크 판매알선업,35,S2045,Sales arranging of oral masks for medical purposes,
의료용 구강보호마스크 판매알선업,35,S2045,Sales arranging of protective mouth masks for medical use,
의료용 독성물질보호용 안면마스크 판매알선업,35,S2045,Sales arranging of face masks for medical use for toxic substance protection,
의료용 부직포제 호흡보호 마스크 판매알선업,35,S2045,Sales arranging of protective breathing masks made of non-woven materials for medical applications,
의료용 비강마스크 판매알선업,35,S2045,Sales arranging of nasal masks for medical purposes,
의료용 산소 마스크 판매알선업,35,S2045,Sales arranging of oxygen masks for medical use,
의료용 산소마스크 판매알선업,35,S2045,Sales arranging of oxygen masks for medical purposes,
의료용 안면마스크 판매알선업,35,S2045,Sales arranging of facial masks for medical purposes,
의료용 얼굴보호마스크 판매알선업,35,S2045,Sales arranging of protective face masks for medical use,
의료용 위생마스크 판매알선업,35,S2045,Sales arranging of sanitary masks for medical purposes,
의료용 코보호마스크 판매알선업,35,S2045,Sales arranging of protective nose masks for medical use,
의료용 항균보호용 안면마스크 판매알선업,35,S2045,Sales arranging of face masks for medical use for anti bacterial protection,
의료용 호흡마스크 판매알선업,35,S2045,Sales arranging of respiratory masks for medical purposes,
의료용 호흡마스크 삽입재 판매알선업,35,S2045,Sales arranging of inserts for breathing masks for medical use,
의료용 호흡보호마스크 판매알선업,35,S2045,Sales arranging of protective breathing masks for medical applications,
의료종사자용 마스크 판매알선업,35,S2045,Sales arranging of masks for use by medical personnel,
인공호흡기용 호흡마스크 판매알선업,35,S2045,Sales arranging of respiratory masks for artificial respiration,
인공호흡용 호흡보호마스크 판매알선업,35,S2045,Sales arranging of protective breathing masks for artificial respiration,
치과분야 종사자용 보호마스크 판매알선업,35,S2045,Sales arranging of protective masks for use by persons working in the dentistry,
치과용 얼굴보호마스크 판매알선업,35,S2045,Sales arranging of protective face masks for dental use,
치과용 입보호마스크 판매알선업,35,S2045,Sales arranging of protective mouth masks for dental use,
치과용 코보호마스크 판매알선업,35,S2045,Sales arranging of protective nose masks for dental use,
치료용 LED 마스크 판매알선업,35,S2045,Sales arranging of LED masks for therapeutic purposes,
치료용 얼굴 마스크 판매알선업,35,S2045,Sales arranging of therapeutic facial masks,
하이필터 수술용 마스크 판매알선업,35,S2045,Sales arranging of high filter surgical masks,
후두용 마스크 판매알선업,35,S2045,Sales arranging of laryngeal masks,
의료용 소독 및 멸균기구 판매알선업,35,S2011,Sales arranging of sterilizing and disinfection apparatus for medical purposes,
의료용 소독기 판매알선업,35,S2011,Sales arranging of medical sterilizer,
의료용 소독장치 판매알선업,35,S2011,Sales arranging of disinfectant apparatus for medical purposes,
의료용 자외선소독기 판매알선업,35,S2011,Sales arranging of ultraviolet ray sterilizer for medical purposes,
의료용 젖병소독기 판매알선업,35,S2011,Sales arranging of steam steriliser for medical purposes,
일회용 멸균의료기기 판매알선업,35,S2011,Sales arranging of disposable disinfectant apparatus for medical purposes,
치과용 복원 조성물용 가열중합장치 판매알선업,35,S2011,Sales arranging of heated polymerization units for dental restoration compounds,
치과용 오븐 판매알선업,35,S2011,Sales arranging of dental ovens,
가스그릴 판매알선업,35,S2018,Sales arranging of gas grills,
가스토스터 판매알선업,35,S2018,Sales arranging of gas toasters,
가정용 가스그릴 판매알선업,35,S2018,Sales arranging of gas grills for household purposes,
