지정상품(국문),NICE분류,유사군코드,지정상품(영문),
토양비료 판매알선업,35,S2001,Sales arranging of fertilizers for soil,
토탄(土炭)비료 판매알선업,35,S2001,Sales arranging of Peat [fertiliser],
토탄(土炭)비료 판매알선업,35,S2001,Sales arranging of peat [fertilizer],
톱밥비료 판매알선업,35,S2001,Sales arranging of sawdust fertilizers,
퇴비 판매알선업,35,S2001,Sales arranging of compost,
특수성분비료 판매알선업,35,S2001,Sales arranging of special ingredient fertilizers,
패석회분말비료 판매알선업,35,S2001,Sales arranging of shell lime powder (fertilizers),
표토 판매알선업,35,S2001,Sales arranging of topsoil,
플라스틱 재료로 만든 식물생육용 인공토양 판매알선업,35,S2001,Sales arranging of artificial soil for plant cultivation made from plastic materials,
해산(海産)비료 판매알선업,35,S2001,Sales arranging of marine fertilizer,
혈분비료 판매알선업,35,S2001,Sales arranging of blood powder [fertilizer],
혼합깻묵비료 판매알선업,35,S2001,Sales arranging of mixed sesame oil cake (fertilizers),
혼합유기질비료 판매알선업,35,S2001,Sales arranging of mixed organic fertilizers,
혼합유박비료 판매알선업,35,S2001,Sales arranging of mixed oil cake (fertilizers),
화분용 퇴비 판매알선업,35,S2001,Sales arranging of potting compost,
화분용 흙 판매알선업,35,S2001,Sales arranging of potting soil,
화분흙용 비료 판매알선업,35,S2001,Sales arranging of fertilizers for potting soil,
화학비료 판매알선업,35,S2001,Sales arranging of chemical fertilizers,
화학적 변환화합물비료 판매알선업,35,S2001,Sales arranging of chemically converted compound fertilizers,
화합물 비료 판매알선업,35,S2001,Sales arranging of compound fertilizers,
황산고토비료 판매알선업,35,S2001,Sales arranging of sulfuric acid magnesia (fertilizers),
황산아연비료 판매알선업,35,S2001,Sales arranging of zinc sulfate (fertilizers),
황산화마그네슘비료 판매알선업,35,S2001,Sales arranging of sulfuric acid magnesium (fertilizers),
곡류처리공정에서 발생하는 공업용 부산물 판매알선업,35,"S2001, S2002",Sales arranging of by-products of the processing of cereals for industrial purposes,
공업용 갈분(葛粉) 판매알선업,35,S2002,Sales arranging of arrowroot starch for industrial purposes,
공업용 감자가루 판매알선업,35,S2002,Sales arranging of potato flour for industrial purposes,
공업용 고구마가루 판매알선업,35,S2002,Sales arranging of sweet potato starch for industrial purposes,
공업용 곡분 판매알선업,35,S2002,Sales arranging of flour for industrial purposes,
공업용 들깨가루 판매알선업,35,S2002,Sales arranging of green perilla flour for industrial purposes,
공업용 메밀가루 판매알선업,35,S2002,Sales arranging of buckwheat flour for industrial purposes,
공업용 밀가루 판매알선업,35,S2002,Sales arranging of wheat flour for industrial purposes,
공업용 변성전분 판매알선업,35,S2002,Sales arranging of modified starch for industrial purposes,
공업용 보리가루 판매알선업,35,S2002,Sales arranging of barley flour for industrial purposes,
공업용 쌀가루 판매알선업,35,S2002,Sales arranging of rice flour for industrial purposes,
공업용 옥수수가루 판매알선업,35,S2002,Sales arranging of corn flour for industrial purposes,
공업용 율무가루 판매알선업,35,S2002,Sales arranging of adlay flour for industrial purposes,
공업용 전분 판매알선업,35,S2002,Sales arranging of starch for industrial purposes,
공업용 콩가루 판매알선업,35,S2002,Sales arranging of soybean flour for industrial purposes,
공업용 타피오카가루 판매알선업,35,S2002,Sales arranging of tapioca flour for industrial purposes,
공업용 현미가루 판매알선업,35,S2002,Sales arranging of brown rice flour for industrial purposes,
섬유제조용 전분 판매알선업,35,S2002,Sales arranging of starch for use in the manufacture of textiles,
종이제조용 전분 판매알선업,35,S2002,Sales arranging of starch for use in the manufacture of paper,
2염화주석 판매알선업,35,S2010,Sales arranging of tin dichloride,
2차전지용 분상(粉狀)탄소 판매알선업,35,S2010,Sales arranging of powdered carbon for secondary cell batteries,
3가 크롬화성피막제 판매알선업,35,S2010,Sales arranging of trivalent chrome chemical conversion coatings,
4급 암모늄염 판매알선업,35,S2010,Sales arranging of quaternary ammonium salts,
4염화주석 판매알선업,35,S2010,Sales arranging of tin tetrachloride,
4염화지르코늄 판매알선업,35,S2010,Sales arranging of zirconium tetrachloride,
LCD용 표면코팅용 화학제 판매알선업,35,S2010,Sales arranging of surface-coating chemicals for LCD,
LED용 방열코팅제 판매알선업,35,S2010,Sales arranging of heat radiation coatings for LED,
OLED용 표면코팅용 화학제 판매알선업,35,S2010,Sales arranging of surface-coating chemicals for OLED,
PDP용 표면코팅용 화학제 판매알선업,35,S2010,Sales arranging of surface-coating chemicals for PDP,
pH 조절제 판매알선업,35,S2010,Sales arranging of pH regulating preparations,
PSR 박리제 판매알선업,35,S2010,Sales arranging of PSR ungluing preparations,
PVC 계공중합체 판매알선업,35,S2010,Sales arranging of PVC poylmer,
X-선필름 가공용 화학제 판매알선업,35,S2010,Sales arranging of chemicals for X-ray film processing,
가공식품제조용 펩티드 판매알선업,35,S2010,Sales arranging of peptides for making processed foods,
가구용 탈취코팅제 판매알선업,35,S2010,Sales arranging of coating agents with deodorant properties for furniture,
